stage,subset,protocol,domain_type,heldout_domain,variant,candidate_id,representation,architecture,embedding_dimension,declared_seed,run_seed,epochs,temperature,name,classification_weight,supervised_contrastive_weight,pair_margin_weight,contrastive_temperature,pair_margin,domain_aware_positives,hard_negative_mining,domain_balanced_batches,encoder_parameters,classifier_parameters,total_parameters,state_sha256
domain,strict_core,domain_only,instrument,Pendar-2,full_domain_aware,full_domain_aware__derivative_1__legacy64__ea0223d19cfe,derivative_1,legacy,64,3141,688082619,61,0.7849390324234737,full_domain_aware,1.0,0.5,0.25,0.1,0.2,True,True,True,719584,455,720039,1e13614182ee0158889f3a2f672e30d6f147430d5794056677ac6549f4634b7b
domain,strict_core,domain_only,instrument,Pendar-3,full_domain_aware,full_domain_aware__derivative_1__legacy64__ea0223d19cfe,derivative_1,legacy,64,1729,1499166730,61,0.7849390324234737,full_domain_aware,1.0,0.5,0.25,0.1,0.2,True,True,True,719584,455,720039,3d7e742f6f8da359efca39d06d66ae0059f38968cabfae3f110096c59baaf0c9
domain,strict_core,domain_only,instrument,Pendar-3,full_domain_aware,full_domain_aware__derivative_1__legacy64__ea0223d19cfe,derivative_1,legacy,64,2718,1752131919,61,0.7849390324234737,full_domain_aware,1.0,0.5,0.25,0.1,0.2,True,True,True,719584,455,720039,5909064c4da62c4b905920fa154a9d8a890f768d919585086e5146c3fa0e7ca9
domain,strict_core,domain_only,instrument,Pendar-3,full_domain_aware,full_domain_aware__derivative_1__legacy64__ea0223d19cfe,derivative_1,legacy,64,3141,1999517277,61,0.7849390324234737,full_domain_aware,1.0,0.5,0.25,0.1,0.2,True,True,True,719584,455,720039,afeaa899f49e6e9bb2f93faa5a38f9292e47d311ec3ef9bdbea80bc8d0f6cd94
domain,strict_core,domain_only,instrument,RMX-1,full_domain_aware,full_domain_aware__derivative_1__legacy64__ea0223d19cfe,derivative_1,legacy,64,1729,1295271485,61,0.7849390324234737,full_domain_aware,1.0,0.5,0.25,0.1,0.2,True,True,True,719584,455,720039,c0700bc89445f12151fc97508cffe0b09030e67beb071858225ced7b7ca75372
domain,strict_core,domain_only,instrument,RMX-1,full_domain_aware,full_domain_aware__derivative_1__legacy64__ea0223d19cfe,derivative_1,legacy,64,2718,889593216,61,0.7849390324234737,full_domain_aware,1.0,0.5,0.25,0.1,0.2,True,True,True,719584,455,720039,6eb118b7dd11cc1aa85098e42a6d1a17154d7c80ef8f2e344f378400bfa619f5
domain,strict_core,domain_only,instrument,RMX-1,full_domain_aware,full_domain_aware__derivative_1__legacy64__ea0223d19cfe,derivative_1,legacy,64,3141,1635611307,61,0.7849390324234737,full_domain_aware,1.0,0.5,0.25,0.1,0.2,True,True,True,719584,455,720039,0927e8efd4842940e42e26f6593f3fd1865c4b86debccdc15a0f1cbf739a2e00
domain,strict_core,domain_only,instrument,RMX-2,full_domain_aware,full_domain_aware__derivative_1__legacy64__ea0223d19cfe,derivative_1,legacy,64,1729,1449144234,61,0.7849390324234737,full_domain_aware,1.0,0.5,0.25,0.1,0.2,True,True,True,719584,455,720039,98ce460c59d7b7d1ba16804eeaf76d675e68b7219ca8c2b1b821ff91bf5aa5bf
domain,strict_core,domain_only,instrument,RMX-2,full_domain_aware,full_domain_aware__derivative_1__legacy64__ea0223d19cfe,derivative_1,legacy,64,2718,1590962274,61,0.7849390324234737,full_domain_aware,1.0,0.5,0.25,0.1,0.2,True,True,True,719584,455,720039,c4772a16a94f133272176e9b002c37de80924add81bbaec19dbad54878ada622
domain,strict_core,domain_only,instrument,RMX-2,full_domain_aware,full_domain_aware__derivative_1__legacy64__ea0223d19cfe,derivative_1,legacy,64,3141,1945621850,61,0.7849390324234737,full_domain_aware,1.0,0.5,0.25,0.1,0.2,True,True,True,719584,455,720039,631dde95a4a485f90063142a0b04068485be60505b40b4d248ee3a7f38bdb5a6
