wavenumber,mean,std
787.4086022,679.825137504,254.24166456150533
789.6246334,680.1812920799999,253.97666163013307
791.8406647,679.7021813919999,254.5846507137836
794.056696,680.3569439439999,255.37933830552666
796.2727273,683.936137012,255.7848163016242
798.4887586,686.281524348,258.2288226505018
800.7047898,686.104638344,255.7560209400433
802.9208211,683.365668956,259.634485423801
805.1368524,686.951475896,260.282144739781
807.3528837,687.1179198120001,254.94527010039494
809.568915,689.1205643440001,258.85677889569996
811.7849462,690.3046005199999,259.16332976132026
814.0009775,689.2589652280002,259.84071716207353
816.2170088,688.030743404,260.47829339527317
818.4330401,688.0279363720001,261.8972743866372
820.6490714,688.133227668,261.9512561679193
822.8651026,686.9825341640001,259.6490547284958
825.0811339,685.714391896,257.170521177276
827.2971652,686.2231209720001,254.07969758548165
829.5131965,686.7828821560001,251.63022760997356
831.7292278,685.5852015360001,251.6156230278371
833.945259,683.377558048,247.07129557058622
836.1612903,682.865416848,243.21583779398324
838.3773216,685.309236336,242.67748819466686
840.5933529,686.0628653719999,242.01498532084153
842.8093842,689.5879054879999,242.58512430456156
845.0254154,694.0778623639999,246.6242750986347
847.2414467,695.710166032,246.98728066006103
849.457478,695.2852860600001,246.70120500333283
851.6735093,693.644662776,246.70906067315747
853.8895406,692.081737304,245.37629629939815
856.1055718,691.6506359599999,244.04965383891957
858.3216031,690.8472250199999,244.5880772932556
860.5376344,690.3782543320001,248.89940536715207
862.7536657,689.5056353519999,251.22069628401857
864.969697,686.3313683320001,249.31594049271422
867.1857283,681.1971924240001,251.33234384931765
869.4017595,683.036518372,249.32555112242648
871.6177908,682.3612505120001,248.14330327885284
873.8338221,680.3561926560001,247.556116429811
876.0498534,680.6806156719999,247.1567394452485
878.2658847,681.644730328,247.46106458214248
880.4819159,680.488088116,248.06281823480037
882.6979472,680.685389064,250.3589764111007
884.9139785,683.0686252159999,252.1336468203299
887.1300098,684.663550556,252.43712749997192
889.3460411,685.2753976320001,254.12512289724378
891.5620723,686.5296215159999,256.3233845100227
893.7781036,687.97408898,255.21139659621838
895.9941349,689.70513668,250.5601214267712
898.2101662,689.6902267520001,248.43234555818967
900.4261975,687.0640421600001,246.7227054057998
902.6422287,683.8891555160001,243.89269656157472
904.85826,687.736418452,243.59400073924715
907.0742913,681.6193614440001,242.08151973732626
909.2903226,681.476823096,244.1122694120793
911.5063539,679.78888494,246.46430068788555
913.7223851,678.200612952,245.7124230145056
915.9384164,675.903441656,243.8662950810551
918.1544477,674.545473076,244.7938645307113
920.370479,674.9886830999999,247.36863378229256
922.5865103,675.148032792,248.85387799233172
924.8025415,674.956307772,250.88887436737483
