heldout_substrate_family,poster_axis,stage,scenario,outer_fold,model_family,model,representation,curriculum,kl_schedule,beta_target,seed,observation_uid,mse,smooth_l1,spectral_angle,pearson_correlation,first_derivative_mae,reference_peak_count,matched_peak_count,repeatable_reference_peak_count,repeatable_matched_peak_count,median_peak_shift_cm1,median_absolute_relative_peak_width_change,median_absolute_peak_prominence_change
Ag,400-1800_common,poster,poster_holdout_Ag,,vae_adequacy,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,clean,four25_then_fixed,0.25,1729,poster_row_0462,0.0060476050296807615,0.0030238025148403807,0.07495612371465198,0.9083269884045624,0.015787462388564433,58,16,17,11,1.5,0.7653883336954239,0.12144668400287628
Ag,400-1800_common,poster,poster_holdout_Ag,,vae_adequacy,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,clean,four25_then_fixed,0.25,1729,poster_row_0463,0.00637701042010086,0.00318850521005043,0.10608539320513781,0.8058387201903812,0.019190194331375615,83,19,22,10,2.0,1.088037147458705,0.0656093955039978
Ag,400-1800_common,poster,poster_holdout_Ag,,vae_adequacy,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,clean,four25_then_fixed,0.25,1729,poster_row_0464,0.0038693952522385958,0.0019346976261192979,0.12478572742664058,0.8381938578990561,0.01189487692966525,48,10,8,8,1.0,0.4682004087910525,0.07846324238926172
Ag,400-1800_common,poster,poster_holdout_Ag,,vae_adequacy,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,clean,four25_then_fixed,0.25,1729,poster_row_0465,0.00336153123828633,0.001680765619143165,0.10117931508396513,0.915930432385049,0.005308765986535166,15,6,6,5,1.5,0.2985534927107869,0.06662278692238033
Ag,400-1800_common,poster,poster_holdout_Ag,,vae_adequacy,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,clean,four25_then_fixed,0.25,1729,poster_row_0466,0.002233227515339108,0.001116613757669554,0.08639352465999056,0.9364250640775564,0.007756842969101853,24,8,8,6,1.0,0.2246655979292804,0.06462726145400666
Ag,400-1800_common,poster,poster_holdout_Ag,,vae_adequacy,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,clean,four25_then_fixed,0.25,1729,poster_row_0467,0.005169766732635498,0.002584883366317749,0.09000396403137308,0.905134748154484,0.016031501777470113,65,15,17,9,1.0,0.4541916430887811,0.10893793031573296
Ag,400-1800_common,poster,poster_holdout_Ag,,vae_adequacy,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,clean,four25_then_fixed,0.25,1729,poster_row_0468,0.0038997811980601843,0.0019498905990300922,0.08840826963423074,0.9267515945435745,0.007959353008440563,28,10,6,6,1.5,0.2994204682054984,0.01997226756066084
Ag,400-1800_common,poster,poster_holdout_Ag,,vae_adequacy,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,clean,four25_then_fixed,0.25,1729,poster_row_0469,0.002325570780864053,0.0011627853904320265,0.09015033669785615,0.9381644643090875,0.00488881068104612,12,6,5,5,1.0,0.1628821517080078,0.0963618066161871
Ag,400-1800_common,poster,poster_holdout_Ag,,vae_adequacy,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,clean,four25_then_fixed,0.25,1729,poster_row_0470,0.0020028611062747064,0.0010014305531373532,0.08233660900701505,0.9417486352920508,0.007508942395049546,22,8,5,5,1.5,0.18280405392045873,0.03891256731003523
Ag,400-1800_common,poster,poster_holdout_Ag,,vae_adequacy,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,clean,four25_then_fixed,0.25,1729,poster_row_0471,0.003651452760935741,0.0018257263804678705,0.0862884298543178,0.9159825529758227,0.016088328880723566,68,15,17,11,2.0,0.401916062033171,0.11301091685891151
Ag,400-1800_common,poster,poster_holdout_Ag,,vae_adequacy,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,clean,four25_then_fixed,0.25,1729,poster_row_0472,0.005377143046292228,0.002688571523146114,0.10764692595929551,0.8250417741923513,0.01402548598125577,52,15,13,8,2.0,0.4333674092726625,0.08342772349715233
